ID_Oficial,Nombre,Distrito,Bloque,Mandato,Inicio_Mandato,Fin_Mandato,Fecha_Nacimiento,URL_Perfil
lurodriguez,"Rodríguez, Miguel",TIERRA DEL FUEGO,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1986-06-21,https://www.diputados.gov.ar/diputados/lurodriguez/
lrodriguezm,"Rodríguez Machado, Laura Elena",CORDOBA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1962-04-09,https://www.diputados.gov.ar/diputados/lrodriguezm/
arossi,"Rossi, Agustín Oscar",SANTA FE,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1959-10-18,https://www.diputados.gov.ar/diputados/arossi/
yruiz,"Ruíz, Yamila",MISIONES,INNOVACIÓN FEDERAL,2023-2027,2023-12-10,2027-12-09,1991-10-13,https://www.diputados.gov.ar/diputados/yruiz/
msalzmann,"Salzmann, Marina Dorotea",BUENOS AIRES,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1990-05-13,https://www.diputados.gov.ar/diputados/msalzmann/
jsanchezw,"Sánchez Wrba, Javier",BUENOS AIRES,PRO,2025-2029,2025-12-10,2029-12-09,1984-01-07,https://www.diputados.gov.ar/diputados/jsanchezw/
nsandg,"Sand, Nancy",CORRIENTES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1964-01-04,https://www.diputados.gov.ar/diputados/nsandg/
csantillanj,"Santillán Juárez Brahim, Juliana",BUENOS AIRES,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1979-06-17,https://www.diputados.gov.ar/diputados/csantillanj/
ssanturior,"Santurio, Santiago",BUENOS AIRES,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1988-01-09,https://www.diputados.gov.ar/diputados/ssanturior/
gscaglia,"Scaglia, Gisela",SANTA FE,PROVINCIAS UNIDAS,2025-2029,2025-12-10,2029-12-09,1976-10-22,https://www.diputados.gov.ar/diputados/gscaglia/
jschiaretti,"Schiaretti, Juan",CORDOBA,PROVINCIAS UNIDAS,2025-2029,2026-02-12,2029-12-09,1949-06-19,https://www.diputados.gov.ar/diputados/jschiaretti/
aschneider,"Schneider, Darío",ENTRE RIOS,UCR - UNIÓN CÍVICA RADICAL,2025-2029,2025-12-10,2029-12-09,1965-05-08,https://www.diputados.gov.ar/diputados/aschneider/
sselva,"Selva, Sabrina",BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1986-12-29,https://www.diputados.gov.ar/diputados/sselva/
aserquis,"Serquis, Adriana Cristina",RIO NEGRO,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1967-11-07,https://www.diputados.gov.ar/diputados/aserquis/
vsiley,"Siley, Vanesa Raquel",BUENOS AIRES,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1984-08-19,https://www.diputados.gov.ar/diputados/vsiley/
gsnopek,"Snopek, Guillermo",JUJUY,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1975-01-11,https://www.diputados.gov.ar/diputados/gsnopek/
lsoldano,"Soldano, Laura",CORDOBA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1980-09-22,https://www.diputados.gov.ar/diputados/lsoldano/
jstrada,"Strada, Julia",BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1989-05-26,https://www.diputados.gov.ar/diputados/jstrada/
jtaiana,"Taiana, Jorge",BUENOS AIRES,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1950-05-31,https://www.diputados.gov.ar/diputados/jtaiana/
ltailhade,"Tailhade, Rodolfo",BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1970-08-18,https://www.diputados.gov.ar/diputados/ltailhade/
ctepp,"Tepp, Caren",SANTA FE,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1986-11-26,https://www.diputados.gov.ar/diputados/ctepp/
ptita,"Tita, Paulo Agustín",TIERRA DEL FUEGO,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1976-01-15,https://www.diputados.gov.ar/diputados/ptita/
ptodero,"Todero, Pablo",NEUQUEN,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1972-02-07,https://www.diputados.gov.ar/diputados/ptodero/
vtolosap,"Tolosa Paz, Victoria",BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1973-06-24,https://www.diputados.gov.ar/diputados/vtolosap/
ytomassoni,"Tomassoni, Yamile",SANTA FE,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1978-05-27,https://www.diputados.gov.ar/diputados/ytomassoni/
rdtorres,"Torres, Rubén Darío",BUENOS AIRES,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1976-12-18,https://www.diputados.gov.ar/diputados/rdtorres/
ltorres,"Torres, Alejandra",CORDOBA,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,1960-12-12,https://www.diputados.gov.ar/diputados/ltorres/
atortoriello,"Tortoriello, Aníbal",RIO NEGRO,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1958-12-24,https://www.diputados.gov.ar/diputados/atortoriello/
jtournier,"Tournier, José Federico",CORRIENTES,LA LIBERTAD AVANZA,2023-2027,2024-08-14,2027-12-09,1975-05-10,https://www.diputados.gov.ar/diputados/jtournier/
ctreffinger,"Treffinger, César",CHUBUT,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1975-08-14,https://www.diputados.gov.ar/diputados/ctreffinger/
ntrotta,"Trotta, Nicolás Alfredo",BUENOS AIRES,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1976-01-20,https://www.diputados.gov.ar/diputados/ntrotta/
hurien,"Urien, Hernán",BUENOS AIRES,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1988-11-09,https://www.diputados.gov.ar/diputados/hurien/
evaldes,"Valdés, Eduardo Félix",CIUDAD DE BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1956-02-16,https://www.diputados.gov.ar/diputados/evaldes/
dvancsik,"Vancsik, Daniel",MISIONES,INNOVACIÓN FEDERAL,2023-2027,2023-12-10,2027-12-09,1977-01-07,https://www.diputados.gov.ar/diputados/dvancsik/
pvasquez,"Vásquez, Patricia",BUENOS AIRES,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1958-12-02,https://www.diputados.gov.ar/diputados/pvasquez/
yvega,"Vega, Yolanda",SALTA,INNOVACIÓN FEDERAL,2023-2027,2023-12-10,2027-12-09,1967-07-20,https://www.diputados.gov.ar/diputados/yvega/
mevelazquez,"Velázquez, M. Elena",BUENOS AIRES,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1968-09-18,https://www.diputados.gov.ar/diputados/mevelazquez/
avera,"Vera, Andrea Fernanda",BUENOS AIRES,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1994-07-16,https://www.diputados.gov.ar/diputados/avera/
pverasay,"Verasay, Pamela Fernanda",MENDOZA,UCR - UNIÓN CÍVICA RADICAL,2025-2029,2025-12-10,2029-12-09,1980-04-26,https://www.diputados.gov.ar/diputados/pverasay/
lvillaverde,"Villaverde, Lorena",RIO NEGRO,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1974-02-18,https://www.diputados.gov.ar/diputados/lvillaverde/
gvisconti,"Visconti, Gino",LA RIOJA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1993-12-14,https://www.diputados.gov.ar/diputados/gvisconti/
lvolnovich,"Volnovich, Luana",BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1979-09-26,https://www.diputados.gov.ar/diputados/lvolnovich/
hyasky,"Yasky, Hugo",BUENOS AIRES,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1949-10-10,https://www.diputados.gov.ar/diputados/hyasky/
pyedlin,"Yedlin, Pablo Raúl",TUCUMAN,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1966-07-16,https://www.diputados.gov.ar/diputados/pyedlin/
myeza,"Yeza, Martín",BUENOS AIRES,PRO,2023-2027,2023-12-10,2027-12-09,1986-01-03,https://www.diputados.gov.ar/diputados/myeza/
ozago,"Zago, Oscar",CIUDAD DE BUENOS AIRES,MID - MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,2023-2027,2023-12-10,2027-12-09,1963-11-13,https://www.diputados.gov.ar/diputados/ozago/
czapata,"Zapata, Carlos Raúl",SALTA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1957-01-30,https://www.diputados.gov.ar/diputados/czapata/
nzaracho,"Zaracho, Natalia",BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1989-07-05,https://www.diputados.gov.ar/diputados/nzaracho/
mzigaran,"Zigarán, María Inés",JUJUY,PROVINCIAS UNIDAS,2025-2029,2025-12-10,2029-12-09,1970-01-16,https://www.diputados.gov.ar/diputados/mzigaran/
czulli,"Zulli, Christian Alejandro",CORRIENTES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1987-04-24,https://www.diputados.gov.ar/diputados/czulli/
