ID_Oficial,Nombre,Distrito,Bloque,Mandato,Inicio_Mandato,Fin_Mandato,Fecha_Nacimiento,URL_Perfil
mgoitia,"Goitia, Rosario",CHACO,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1978-02-28,https://www.diputados.gov.ar/diputados/mgoitia/
jegomez,"Gomez, José",SANTIAGO DEL ESTERO,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1962-10-25,https://www.diputados.gov.ar/diputados/jegomez/
agonzales,"Gonzales, Alfredo",JUJUY,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1988-04-20,https://www.diputados.gov.ar/diputados/agonzales/
digonzalez,"González, Diógenes Ignacio",CORRIENTES,UCR - UNIÓN CÍVICA RADICAL,2025-2029,2025-12-10,2029-12-09,1965-08-21,https://www.diputados.gov.ar/diputados/digonzalez/
agonzalez,"González, Álvaro",CIUDAD DE BUENOS AIRES,PRO,2023-2027,2023-12-10,2027-12-09,1958-10-12,https://www.diputados.gov.ar/diputados/agonzalez/
gggonzalez,"González, Gerardo Gustavo",FORMOSA,INNOVACIÓN FEDERAL,2023-2027,2023-12-10,2027-12-09,1974-12-29,https://www.diputados.gov.ar/diputados/gggonzalez/
mgestevarena,"González Estevarena, María Luisa",BUENOS AIRES,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1956-07-06,https://www.diputados.gov.ar/diputados/mgestevarena/
jgrabois,"Grabois, Juan",BUENOS AIRES,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1983-05-23,https://www.diputados.gov.ar/diputados/jgrabois/
mgruber,"Gruber, Maura",MISIONES,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1984-02-08,https://www.diputados.gov.ar/diputados/mgruber/
crgutierrez,"Gutiérrez, Ramiro",BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1967-04-01,https://www.diputados.gov.ar/diputados/crgutierrez/
cgutierrez,"Gutiérrez, Carlos",CORDOBA,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,1953-10-27,https://www.diputados.gov.ar/diputados/cgutierrez/
jguzman,"Guzmán, Jairo",SANTA CRUZ,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1983-06-15,https://www.diputados.gov.ar/diputados/jguzman/
rhadad,"Hadad, Raúl",CORRIENTES,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1986-03-29,https://www.diputados.gov.ar/diputados/rhadad/
ihagman,"Hagman, Itai",CIUDAD DE BUENOS AIRES,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1983-02-13,https://www.diputados.gov.ar/diputados/ihagman/
dhartfield,"Hartfield, Diego",MISIONES,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1981-01-31,https://www.diputados.gov.ar/diputados/dhartfield/
oherreraa,"Herrera, Oscar",MISIONES,INNOVACIÓN FEDERAL,2025-2029,2025-12-10,2029-12-09,1971-08-20,https://www.diputados.gov.ar/diputados/oherreraa/
pholzman,"Holzman, Patricia",CIUDAD DE BUENOS AIRES,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1965-11-09,https://www.diputados.gov.ar/diputados/pholzman/
mhuesen,"Huesen, Gerardo",TUCUMAN,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1980-03-21,https://www.diputados.gov.ar/diputados/mhuesen/
ghumenuk,"Humenuk, Gladys",BUENOS AIRES,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1973-01-01,https://www.diputados.gov.ar/diputados/ghumenuk/
aianni,"Ianni, Ana María",SANTA CRUZ,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1969-09-21,https://www.diputados.gov.ar/diputados/aianni/
mibanez,"Ibañez, María Cecilia",CORDOBA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1965-02-19,https://www.diputados.gov.ar/diputados/mibanez/
cjaimeq,"Jaime Quiroga, Carlos Gustavo",SAN JUAN,PRODUCCION Y TRABAJO,2025-2029,2025-12-10,2029-12-09,1981-12-25,https://www.diputados.gov.ar/diputados/cjaimeq/
pjuliano,"Juliano, Pablo",BUENOS AIRES,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,1988-04-06,https://www.diputados.gov.ar/diputados/pjuliano/
mkirchner,"Kirchner, Máximo Carlos",BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1977-02-16,https://www.diputados.gov.ar/diputados/mkirchner/
mlanesan,"Lanesan Sancho, Moira",SANTA CRUZ,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1985-02-03,https://www.diputados.gov.ar/diputados/mlanesan/
alaumann,"Laumann, Andrés Ariel",ENTRE RIOS,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1972-02-08,https://www.diputados.gov.ar/diputados/alaumann/
aleiva,"Leiva, Aldo",CHACO,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1963-01-10,https://www.diputados.gov.ar/diputados/aleiva/
lbolukalol,"Lemoine, Lilia",BUENOS AIRES,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1980-11-07,https://www.diputados.gov.ar/diputados/lbolukalol/
aleone,"Leone, Andrés",CIUDAD DE BUENOS AIRES,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1970-09-07,https://www.diputados.gov.ar/diputados/aleone/
mllano,"Llano, Mercedes",MENDOZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1978-08-27,https://www.diputados.gov.ar/diputados/mllano/
elluch,"Lluch, Enrique",CORDOBA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1982-11-25,https://www.diputados.gov.ar/diputados/elluch/
jslongo,"Longo, Johanna Sabrina",BUENOS AIRES,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1982-08-05,https://www.diputados.gov.ar/diputados/jslongo/
mjlopez,"López, Jimena",BUENOS AIRES,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1979-10-26,https://www.diputados.gov.ar/diputados/mjlopez/
clopezp,"López Pasquali, Cecilia",SANTIAGO DEL ESTERO,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1947-12-31,https://www.diputados.gov.ar/diputados/clopezp/
mlousteau,"Lousteau, Martín",CIUDAD DE BUENOS AIRES,PROVINCIAS UNIDAS,2025-2029,2025-12-10,2029-12-09,1970-12-08,https://www.diputados.gov.ar/diputados/mlousteau/
jluque,"Luque, Juan Pablo",CHUBUT,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1977-12-20,https://www.diputados.gov.ar/diputados/jluque/
mmacyszyn,"Macyszyn, Lorena",BUENOS AIRES,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1978-07-28,https://www.diputados.gov.ar/diputados/mmacyszyn/
hmango,"Mango, Marcelo",RIO NEGRO,UNIÓN POR LA PATRIA,2023-2027,2025-12-10,2027-12-09,1964-11-02,https://www.diputados.gov.ar/diputados/hmango/
mrmanrique,"Manrique, Mario",BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1961-08-02,https://www.diputados.gov.ar/diputados/mrmanrique/
lmarclay,"Marclay, Marianela",ENTRE RIOS,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1984-04-03,https://www.diputados.gov.ar/diputados/lmarclay/
vmarin,"Marín, Varinia Lis",LA PAMPA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1968-02-23,https://www.diputados.gov.ar/diputados/vmarin/
jmarino,"Marino, Juan",BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1987-11-25,https://www.diputados.gov.ar/diputados/jmarino/
gpmartinez,"Martínez, Germán Pedro",SANTA FE,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1975-02-22,https://www.diputados.gov.ar/diputados/gpmartinez/
amartinez,"Martínez, Álvaro",MENDOZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1986-11-13,https://www.diputados.gov.ar/diputados/amartinez/
nmassot,"Massot, Nicolás",BUENOS AIRES,ENCUENTRO FEDERAL,2023-2027,2023-12-10,2027-12-09,1984-07-16,https://www.diputados.gov.ar/diputados/nmassot/
kmaureira,"Maureira, Karina",NEUQUEN,LA NEUQUINIDAD,2025-2029,2025-12-10,2029-12-09,1971-05-29,https://www.diputados.gov.ar/diputados/kmaureira/
nmayoraz,"Mayoraz, Nicolás",SANTA FE,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1968-09-11,https://www.diputados.gov.ar/diputados/nmayoraz/
gmedina,"Medina, Gladys",TUCUMAN,INDEPENDENCIA,2025-2029,2025-12-10,2029-12-09,1973-04-29,https://www.diputados.gov.ar/diputados/gmedina/
mmenem,"Menem, Martín",LA RIOJA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1975-04-19,https://www.diputados.gov.ar/diputados/mmenem/
mmetrala,"Metral Asensio, Julieta",MENDOZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1989-08-23,https://www.diputados.gov.ar/diputados/mmetrala/
gmichel,"Michel, Guillermo",ENTRE RIOS,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1977-03-05,https://www.diputados.gov.ar/diputados/gmichel/
rmino,"Miño, Fernanda",BUENOS AIRES,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1974-07-19,https://www.diputados.gov.ar/diputados/rmino/
jucmolina,"Molina, Juan Carlos",SANTA CRUZ,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1966-12-08,https://www.diputados.gov.ar/diputados/jucmolina/
mmolinuevo,"Molinuevo, Soledad",TUCUMAN,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1973-05-03,https://www.diputados.gov.ar/diputados/mmolinuevo/
mmolle,"Molle, Matías",BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1976-12-05,https://www.diputados.gov.ar/diputados/mmolle/
mmondaca,"Mondaca, Soledad",NEUQUEN,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1985-01-30,https://www.diputados.gov.ar/diputados/mmondaca/
fmonguillot,"Monguillot, Fernando",CATAMARCA,ELIJO CATAMARCA,2025-2029,2025-12-10,2029-12-09,1988-03-15,https://www.diputados.gov.ar/diputados/fmonguillot/
jpmontenegro,"Montenegro, Juan Pablo",SANTA FE,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1978-06-24,https://www.diputados.gov.ar/diputados/jpmontenegro/
gmontenegro,"Montenegro, Guillermo",BUENOS AIRES,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1975-08-16,https://www.diputados.gov.ar/diputados/gmontenegro/
rmonzon,"Monzón, Roxana",BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1974-05-31,https://www.diputados.gov.ar/diputados/rmonzon/
fmorchio,"Morchio, Francisco",ENTRE RIOS,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1975-05-25,https://www.diputados.gov.ar/diputados/fmorchio/
cmoreau,"Moreau, Cecilia",BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1976-12-05,https://www.diputados.gov.ar/diputados/cmoreau/
jumoreno,"Moreno Ovalle, Julio",SALTA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1954-10-26,https://www.diputados.gov.ar/diputados/jumoreno/
hmoyano,"Moyano, Hugo Antonio",BUENOS AIRES,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1983-09-26,https://www.diputados.gov.ar/diputados/hmoyano/
jmukdise,"Mukdise, Jorge",SANTIAGO DEL ESTERO,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1972-12-23,https://www.diputados.gov.ar/diputados/jmukdise/
gmunoz,"Muñoz, Gabriela Luciana",NEUQUEN,LA LIBERTAD AVANZA,2023-2027,2025-12-10,2027-12-09,1990-02-27,https://www.diputados.gov.ar/diputados/gmunoz/
eneder,"Neder, Estela Mary",SANTIAGO DEL ESTERO,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1957-12-12,https://www.diputados.gov.ar/diputados/eneder/
lnieri,"Nieri, Lisandro",MENDOZA,UCR - UNIÓN CÍVICA RADICAL,2023-2027,2023-12-10,2027-12-09,1972-06-12,https://www.diputados.gov.ar/diputados/lnieri/
mniveyro,"Niveyro, Miriam",BUENOS AIRES,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1968-02-13,https://www.diputados.gov.ar/diputados/mniveyro/
dnoblega,"Nóblega, Sebastián",CATAMARCA,ELIJO CATAMARCA,2023-2027,2023-12-10,2027-12-09,1983-09-19,https://www.diputados.gov.ar/diputados/dnoblega/
mnoguera,"Noguera, Javier",TUCUMAN,INDEPENDENCIA,2025-2029,2025-12-10,2029-12-09,1970-08-03,https://www.diputados.gov.ar/diputados/mnoguera/
jnunez,"Nuñez, José",SANTA FE,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,1974-11-12,https://www.diputados.gov.ar/diputados/jnunez/
jojeda,"Ojeda, Joaquín",BUENOS AIRES,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1991-01-23,https://www.diputados.gov.ar/diputados/jojeda/
kolmos,"Olmos, Kelly",CIUDAD DE BUENOS AIRES,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1952-07-08,https://www.diputados.gov.ar/diputados/kolmos/
bosuna,"Osuna, Blanca Inés",ENTRE RIOS,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1950-10-25,https://www.diputados.gov.ar/diputados/bosuna/
poutes,"Outes, Pablo",SALTA,INNOVACIÓN FEDERAL,2023-2027,2023-12-10,2027-12-09,1967-12-11,https://www.diputados.gov.ar/diputados/poutes/
mpagano,"Pagano, Marcela Marina",BUENOS AIRES,COHERENCIA,2023-2027,2023-12-10,2027-12-09,1985-12-04,https://www.diputados.gov.ar/diputados/mpagano/
spalazzo,"Palazzo, Sergio Omar",BUENOS AIRES,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1962-04-05,https://www.diputados.gov.ar/diputados/spalazzo/
cpalladino,"Palladino, Claudia María",CATAMARCA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1965-08-07,https://www.diputados.gov.ar/diputados/cpalladino/
spareja,"Pareja, Sebastián",BUENOS AIRES,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1975-10-03,https://www.diputados.gov.ar/diputados/spareja/
mgparola,"Parola, María Graciela",FORMOSA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1978-09-06,https://www.diputados.gov.ar/diputados/mgparola/
mpatinob,"Patiño Brizuela, Marcos",CORDOBA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1977-11-14,https://www.diputados.gov.ar/diputados/mpatinob/
jpauli,"Pauli, Santiago",TIERRA DEL FUEGO,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1987-07-08,https://www.diputados.gov.ar/diputados/jpauli/
epaulon,"Paulón, Esteban",SANTA FE,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,1978-06-17,https://www.diputados.gov.ar/diputados/epaulon/
gpedrali,"Pedrali, Gabriela",LA RIOJA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1964-02-02,https://www.diputados.gov.ar/diputados/gpedrali/
apellegrini,"Pellegrini, Agustín",SANTA FE,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,2000-03-20,https://www.diputados.gov.ar/diputados/apellegrini/
fpelli,"Pelli, Federico Agustín",TUCUMAN,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1985-06-23,https://www.diputados.gov.ar/diputados/fpelli/
